# GeoNames 一级行政区（admin1）参考表
# 来源: https://download.geonames.org/export/dump/admin1CodesASCII.txt（配合 countryInfo.txt 做 ISO2→ISO3 映射）
# 许可: Creative Commons Attribution 4.0 (CC BY 4.0)
# 署名: GeoNames, https://www.geonames.org/
# 生成: python scripts/fetch_geonames_admin1.py    —— 请勿手工编辑
#
# 每行 5 列，制表符分隔: iso3	geonames_code	name	asciiname	geonameid
# geonames_code 形如 KE.01；geonameid 全局唯一，实体 id 以它为准
# 未匹配到 UN M49 国家表而跳过的 ISO2: XK=7
AFG	AF.01	Badakhshan	Badakhshan	1147745
AFG	AF.02	Badghis	Badghis	1147707
AFG	AF.03	Baghlan	Baghlan	1147537
AFG	AF.30	Balkh	Balkh	1147288
AFG	AF.05	Bamyan	Bamyan	1147239
AFG	AF.41	Daykundi	Daykundi	6957553
AFG	AF.06	Farah	Farah	1142263
AFG	AF.07	Faryab	Faryab	1142226
AFG	AF.08	Ghazni	Ghazni	1141268
AFG	AF.09	Ghowr	Ghowr	1141103
AFG	AF.10	Helmand	Helmand	1140043
AFG	AF.11	Herat	Herat	1140025
AFG	AF.31	Jowzjan	Jowzjan	1139049
AFG	AF.13	Kabul	Kabul	1138957
AFG	AF.23	Kandahar	Kandahar	1138335
AFG	AF.14	Kapisa	Kapisa	1138255
AFG	AF.37	Khowst	Khowst	1444362
AFG	AF.34	Kunar	Kunar	1135702
AFG	AF.24	Kunduz	Kunduz	1135690
AFG	AF.35	Laghman	Laghman	1135022
AFG	AF.17	Logar	Logar	1134561
AFG	AF.27	Maidan Wardak Province	Maidan Wardak Province	1121863
AFG	AF.18	Nangarhar	Nangarhar	1132366
AFG	AF.19	Nimroz	Nimroz	1131821
AFG	AF.38	Nuristan	Nuristan	1444363
AFG	AF.39	Oruzgan	Oruzgan	1131461
AFG	AF.36	Paktia	Paktia	1131257
AFG	AF.29	Paktika	Paktika	1131256
AFG	AF.42	Panjshir	Panjshir	6957555
AFG	AF.40	Parwan	Parwan	1131054
AFG	AF.32	Samangan	Samangan	1127766
AFG	AF.33	Sar-e Pol Province	Sar-e Pol Province	1127106
AFG	AF.26	Takhar	Takhar	1123230
AFG	AF.28	Zabul	Zabul	1121143
