# WMO OSCAR/Space 对地观测仪器目录
# 来源: https://space.oscar.wmo.int/api/v1/instruments（42 页）
# 文档: https://space.oscar.wmo.int/apidoc/
# 许可: 可自由使用与再分发，须致谢 WMO；WMO 不对准确性作担保
# 署名: WMO OSCAR/Space, https://space.oscar.wmo.int/
# 生成: python scripts/fetch_oscar_instruments.py   —— 请勿手工编辑
#
# 每行 10 列，制表符分隔: oscar_id	slug	acronym	fullname	agency	instrument_type	classification	wigos_subcomponent	satellite_count	variables
1	3mi	3MI	Multi-viewing Multi-channel Multi-polarisation Imager	ESA	Moderate-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|Moderate resolution optical imager	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'36': {'name': 'Multi-angle, multi-polarization radiometers', 'wigos-filters': ['Multi-angle, multi-polarization radiometer ']}}}}	3	
2	aatsr	AATSR	Advanced Along-Track Scanning Radiometer	UKSA	Moderate-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|Moderate resolution optical imager	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'11': {'name': 'IR dual-angle view imagers', 'wigos-filters': ['IR dual-angle view imager']}}}}	1	
3	abi	ABI	Advanced Baseline Imager	NOAA	Moderate-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|Moderate resolution optical imager	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'1': {'name': 'Multi-spectral VIS/IR imagery With rapid repeat cycles [in GEO]', 'wigos-filters': ['Multi-spectral VIS/IR imager with rapid repeat cycles [in GEO] ']}}}}	0	
4	ac	AC	Radiation Budget Sensor	Roscosmos	Broad band radiometer	Earth observation instrument|Passive optical radiometer or spectrometer|Broadband Earth radiation radiometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'18': {'name': 'Absolutely calibrated broadband radiometers, and TSI and SSI radiometers', 'wigos-filters': ['Broadband radiometer (for ERB)']}}}}	0	
5	acc	ACC	Accelerometer	ESA	Gravity sensing system	Other payload component|Gravity sensing system	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'23': {'name': 'Gravimetry missions', 'wigos-filters': ['Gravitometry sensing system']}}}}	3	None|None|None|None|None
6	ace_fts	ACE-FTS	Atmospheric Chemistry Experiment - Fourier Transform Spectrometer	CSA	Limb sounder	Earth observation instrument|Limb sounders|Limb sounder	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'39': {'name': 'UV/VIS/NIR/IR/MW limb sounders', 'wigos-filters': ['UV/VIS/NIR/IR occultation limb sounder']}}}}	1	
7	acrim_i	ACRIM-I	Active Cavity Radiometer Irradiance Monitoring - I	NASA	Solar irradiance monitor	Earth observation instrument|Passive optical radiometer or spectrometer|Solar irradiance monitor	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'18': {'name': 'Absolutely calibrated broadband radiometers, and TSI and SSI radiometers', 'wigos-filters': ['TSI and SSI radiometers (for solar irradiance)']}}}}	1	None
8	acrim_ii	ACRIM-II	Active Cavity Radiometer Irradiance Monitoring - II	NASA	Solar irradiance monitor	Earth observation instrument|Passive optical radiometer or spectrometer|Solar irradiance monitor	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'18': {'name': 'Absolutely calibrated broadband radiometers, and TSI and SSI radiometers', 'wigos-filters': ['TSI and SSI radiometers (for solar irradiance)']}}}}	1	None
9	acrim_iii	ACRIM-III	Active Cavity Radiometer Irradiance Monitoring - III	NASA	Solar irradiance monitor	Earth observation instrument|Passive optical radiometer or spectrometer|Solar irradiance monitor	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'18': {'name': 'Absolutely calibrated broadband radiometers, and TSI and SSI radiometers', 'wigos-filters': ['TSI and SSI radiometers (for solar irradiance)']}}}}	1	None
10	a_dcs	A-DCS	Advanced Data Collection System (also called "Argos-3")	CNES	Data collection system	Other payload component|Data Collection System	[]	0	
